Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W03;3 m;AMON;2.1;umol/l;Acceptable;2014-05-07T15:17:00Z;0.029414070000000004
W03;3 m;NTOT;25;umol/l;Acceptable;2014-05-07T15:17:00Z;0.3501675
W03;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-07T15:17:00Z;8.40402e-4
W03;3 m;NTRZ;0.46;umol/l;Acceptable;2014-05-07T15:17:00Z;0.006443082
W03;3 m;PHOS;0.23;umol/l;Acceptable;2014-05-07T15:17:00Z;0.00712396526
W03;3 m;PTOT;0.56;umol/l;Acceptable;2014-05-07T15:17:00Z;0.017345306720000002
W03;3 m;SLCA;4.9;umol/l;Acceptable;2014-05-07T15:17:00Z;0.13761895000000002
W05;3 m;AMON;0.53;umol/l;Acceptable;2014-05-07T17:15:00Z;0.0074235510000000005
W05;3 m;NTOT;9.1;umol/l;Acceptable;2014-05-07T17:15:00Z;0.12746097
W05;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-07T17:15:00Z;8.40402e-4
W05;3 m;NTRZ;0.24;umol/l;Acceptable;2014-05-07T17:15:00Z;0.003361608
W05;3 m;PHOS;0.085;umol/l;Acceptable;2014-05-07T17:15:00Z;0.0026327697700000005
W05;3 m;PTOT;0.42;umol/l;Acceptable;2014-05-07T17:15:00Z;0.01300898004
W05;3 m;SLCA;2.6;umol/l;Acceptable;2014-05-07T17:15:00Z;0.0730223
W02;3 m;AMON;2.2;umol/l;Acceptable;2014-05-07T17:56:00Z;0.030814740000000004
W02;3 m;NTOT;25;umol/l;Acceptable;2014-05-07T17:56:00Z;0.3501675
W02;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-07T17:56:00Z;8.40402e-4
W02;3 m;NTRZ;0.6;umol/l;Acceptable;2014-05-07T17:56:00Z;0.00840402
W02;3 m;PHOS;0.33;umol/l;Acceptable;2014-05-07T17:56:00Z;0.010221341460000002
W02;3 m;PTOT;0.76;umol/l;Acceptable;2014-05-07T17:56:00Z;0.02354005912
W02;3 m;SLCA;6.4;umol/l;Acceptable;2014-05-07T17:56:00Z;0.17974720000000002
W04;3 m;AMON;1.4;umol/l;Acceptable;2014-05-07T19:24:00Z;0.01960938
W04;3 m;NTOT;19.8;umol/l;Acceptable;2014-05-07T19:24:00Z;0.27733266
W04;3 m;NTRI;0.06;umol/l;Acceptable;2014-05-07T19:24:00Z;8.40402e-4
W04;3 m;NTRZ;0.41;umol/l;Acceptable;2014-05-07T19:24:00Z;0.0057427469999999994
W04;3 m;PHOS;0.14;umol/l;Acceptable;2014-05-07T19:24:00Z;0.0043363266800000005
W04;3 m;PTOT;0.61;umol/l;Acceptable;2014-05-07T19:24:00Z;0.01889399482
W04;3 m;SLCA;3.7;umol/l;Acceptable;2014-05-07T19:24:00Z;0.10391635
W09;3 m;AMON;0.77;umol/l;Acceptable;2014-07-07T16:37:00Z;0.010785159
W09;3 m;NTOT;11.1;umol/l;Acceptable;2014-07-07T16:37:00Z;0.15547437
W09;3 m;NTRI;0.06;umol/l;Acceptable;2014-07-07T16:37:00Z;8.40402e-4
W09;3 m;NTRZ;0.24;umol/l;Acceptable;2014-07-07T16:37:00Z;0.003361608
W09;3 m;PHOS;0.06;umol/l;Acceptable;2014-07-07T16:37:00Z;0.00185842572
W09;3 m;PTOT;0.27;umol/l;Acceptable;2014-07-07T16:37:00Z;0.00836291574
W09;3 m;SLCA;0.67;umol/l;Acceptable;2014-07-07T16:37:00Z;0.018817285000000003
W10;3 m;AMON;3;umol/l;Acceptable;2014-07-07T18:43:00Z;0.0420201
W10;3 m;NTOT;27;umol/l;Acceptable;2014-07-07T18:43:00Z;0.3781809
W10;3 m;NTRI;0.06;umol/l;Acceptable;2014-07-07T18:43:00Z;8.40402e-4
W10;3 m;NTRZ;0.24;umol/l;Acceptable;2014-07-07T18:43:00Z;0.003361608
W10;3 m;PHOS;0.095;umol/l;Acceptable;2014-07-07T18:43:00Z;0.00294250739
W10;3 m;PTOT;0.37;umol/l;Acceptable;2014-07-07T18:43:00Z;0.011460291939999999
W10;3 m;SLCA;0.3;umol/l;Acceptable;2014-07-07T18:43:00Z;0.00842565
W08;3 m;AMON;1.6;umol/l;Acceptable;2014-07-07T20:41:00Z;0.022410720000000002
W08;3 m;NTOT;15.5;umol/l;Acceptable;2014-07-07T20:41:00Z;0.21710385
W08;3 m;NTRI;0.06;umol/l;Acceptable;2014-07-07T20:41:00Z;8.40402e-4
W08;3 m;NTRZ;0.24;umol/l;Acceptable;2014-07-07T20:41:00Z;0.003361608
W08;3 m;PHOS;0.152;umol/l;Acceptable;2014-07-07T20:41:00Z;0.004708011824
W08;3 m;PTOT;0.4;umol/l;Acceptable;2014-07-07T20:41:00Z;0.012389504800000001
W08;3 m;SLCA;0.31;umol/l;Acceptable;2014-07-07T20:41:00Z;0.008706505
W06;3 m;AMON;2.3;umol/l;Acceptable;2014-07-07T22:47:00Z;0.03221541
W06;3 m;NTOT;20;umol/l;Acceptable;2014-07-07T22:47:00Z;0.280134
W06;3 m;NTRI;0.06;umol/l;Acceptable;2014-07-07T22:47:00Z;8.40402e-4
W06;3 m;NTRZ;0.24;umol/l;Acceptable;2014-07-07T22:47:00Z;0.003361608
W06;3 m;PHOS;0.083;umol/l;Acceptable;2014-07-07T22:47:00Z;0.0025708222460000003
W06;3 m;PTOT;0.34;umol/l;Acceptable;2014-07-07T22:47:00Z;0.010531079080000002
W06;3 m;SLCA;0.42;umol/l;Acceptable;2014-07-07T22:47:00Z;0.01179591
W07;3 m;AMON;3.6;umol/l;Acceptable;2014-07-08T14:41:00Z;0.05042412
W07;3 m;NTOT;23;umol/l;Acceptable;2014-07-08T14:41:00Z;0.32215410000000005
W07;3 m;NTRI;0.113;umol/l;Acceptable;2014-07-08T14:41:00Z;0.0015827571
W07;3 m;NTRZ;0.434;umol/l;Acceptable;2014-07-08T14:41:00Z;0.006078907800000001
W07;3 m;PHOS;0.33;umol/l;Acceptable;2014-07-08T14:41:00Z;0.010221341460000002
